Combinado,Floral,Generico,Geometrico,Liso,Precio,Ventas
0,1,0,0,0,290.00,100
0,1,0,0,0,145.53,17
0,0,0,0,1,155.54,15
0,1,0,0,0,209.44,1000
0,1,0,0,0,133.59,12
0,1,0,0,0,308.06,600
0,0,0,0,1,55.00,20
0,0,1,0,0,173.74,700
0,1,0,0,0,341.00,10
0,1,0,0,0,219.00,900
0,0,0,0,1,118.26,26
0,0,0,0,1,162.79,15
0,0,0,0,1,170.00,800
0,1,0,0,0,121.36,80
0,0,1,0,0,171.00,300
1,0,0,0,0,197.00,100
0,0,0,0,1,198.00,100
0,0,0,0,1,339.45,10
0,0,1,0,0,244.13,10
0,1,0,0,0,161.33,1000
0,0,0,1,0,195.78,24
0,0,0,0,1,227.76,10
0,0,0,1,0,175.00,200
1,0,0,0,0,227.76,19
0,0,0,0,1,135.78,22
0,1,0,0,0,198.00,200
0,1,0,0,0,246.40,100
0,0,0,0,1,350.40,60
0,0,0,0,1,265.50,400
0,0,0,1,0,149.38,900
0,0,0,1,0,176.00,400
1,0,0,0,0,260.61,200
0,1,0,0,0,146.88,17
0,0,0,0,1,189.07,16
0,1,0,0,0,131.00,10
0,0,0,0,1,181.72,13
0,0,0,0,1,389.09,80
0,0,1,0,0,195.00,20
0,1,0,0,0,262.57,800
0,1,0,0,0,183.00,200
0,0,0,0,1,216.08,100
0,1,0,0,0,221.92,10
0,0,0,1,0,217.91,300
0,1,0,0,0,200.75,1000
1,0,0,0,0,179.58,800
0,0,1,0,0,120.45,35
0,1,0,0,0,374.00,100
0,0,0,0,1,194.00,100
0,0,0,0,1,181.04,22
0,1,0,0,0,223.38,20
0,0,0,1,0,363.00,100
1,0,0,0,0,193.00,100
1,0,0,0,0,196.37,300
0,1,0,0,0,231.00,900
0,0,0,0,1,280.28,500
0,0,0,1,0,196.00,20
0,1,0,0,0,146.30,15
0,0,0,0,1,164.25,23
1,0,0,0,0,203.00,300
0,0,0,0,1,176.66,18
0,0,0,0,1,171.00,31
0,1,0,0,0,236.52,600
0,1,0,0,0,325.00,600
0,1,0,0,0,189.00,500
0,0,0,0,1,253.38,700
0,0,0,0,1,199.43,17
0,1,0,0,0,315.36,900
0,1,0,0,0,272.00,500
0,0,0,1,0,196.00,14
1,0,0,0,0,159.12,20
0,1,0,0,0,246.00,300
0,0,0,1,0,178.12,500
0,1,0,0,0,181.04,25
0,1,0,0,0,185.57,900
0,1,0,0,0,220.22,300
0,0,0,0,1,210.00,300
0,0,0,1,0,183.96,16
0,1,0,0,0,333.41,15
0,0,0,0,1,297.99,500
0,1,0,0,0,154.76,16
0,1,0,0,0,192.00,400
0,1,0,0,0,178.64,400
0,1,0,0,0,187.11,12
1,0,0,0,0,383.46,900
0,0,0,0,1,151.84,10
1,0,0,0,0,197.00,100
0,1,0,0,0,155.00,100
0,1,0,0,0,208.00,800
0,0,0,0,1,186.00,300
1,0,0,0,0,246.01,11
0,0,0,0,1,170.82,800
0,1,0,0,0,200.00,900
0,0,0,0,1,344.96,300
0,1,0,0,0,243.32,900
0,0,1,0,0,226.38,300
0,0,0,1,0,197.89,600
1,0,0,0,0,191.20,400
0,0,0,0,1,213.35,200
0,0,0,0,1,243.00,300
0,1,0,0,0,257.95,100
0,1,0,0,0,192.50,200
0,1,0,0,0,190.96,300
0,0,0,1,0,168.63,900
0,0,0,1,0,209.00,300
0,0,0,0,1,135.05,1000
0,0,0,0,1,208.05,100
0,1,0,0,0,191.26,20
0,0,1,0,0,159.00,100
0,0,0,1,0,357.00,40
0,1,0,0,0,221.92,400
0,1,0,0,0,213.00,200
0,0,1,0,0,203.00,200
0,0,0,1,0,241.00,100
0,1,0,0,0,197.83,16
0,1,0,0,0,93.00,60
0,0,0,0,1,507.00,400
0,0,0,0,1,221.19,11
0,0,0,0,1,214.62,100
0,0,0,0,1,530.00,10
0,0,0,0,1,396.00,1000
0,0,0,0,1,453.00,1000
0,0,0,0,1,380.00,1000
0,0,0,0,1,372.00,100
0,0,0,0,1,395.00,1000
0,0,0,0,1,291.00,70
0,0,0,0,1,438.00,1000
0,0,0,0,1,623.00,1000
0,0,0,1,0,438.00,20
0,0,0,0,1,327.00,10
0,0,0,0,1,242.00,1000
1,0,0,0,0,650.00,1000
